"ID","Handle","Command","Title","Body HTML","Vendor","Type","Tags","Tags Command","Created At","Updated At","Status","Published","Published At","Published Scope","Template Suffix","Gift Card","URL","Total Inventory Qty","Row #","Top Row","Category: ID","Category: Name","Category","Custom Collections","Smart Collections","Image Type","Image Src","Image Command","Image Position","Image Width","Image Height","Image Alt Text","Variant Inventory Item ID","Variant ID","Variant Command","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant Position","Variant SKU","Variant Barcode","Variant Image","Variant Weight","Variant Weight Unit","Variant Price","Variant Compare At Price","Variant Taxable","Variant Tax Code","Variant Inventory Tracker","Variant Inventory Policy","Variant Fulfillment Service","Variant Requires Shipping","Variant Shipping Profile","Variant Inventory Qty","Variant Inventory Adjust","Variant Cost","Variant HS Code","Variant Country of Origin","Variant Province of Origin","Inventory Available: Unit 106, 2455 192nd Street","Inventory Available Adjust: Unit 106, 2455 192nd Street","Inventory On Hand: Unit 106, 2455 192nd Street","Inventory On Hand Adjust: Unit 106, 2455 192nd Street","Inventory Committed: Unit 106, 2455 192nd Street","Inventory Reserved: Unit 106, 2455 192nd Street","Inventory Damaged: Unit 106, 2455 192nd Street","Inventory Damaged Adjust: Unit 106, 2455 192nd Street","Inventory Safety Stock: Unit 106, 2455 192nd Street","Inventory Safety Stock Adjust: Unit 106, 2455 192nd Street","Inventory Quality Control: Unit 106, 2455 192nd Street","Inventory Quality Control Adjust: Unit 106, 2455 192nd Street","Inventory Incoming: Unit 106, 2455 192nd Street","Included / Canada","Price / Canada","Compare At Price / Canada","Included / United States","Price / United States","Compare At Price / United States","Metafield: title_tag [string]","Metafield: description_tag [string]","Metafield: shopify--discovery--product_search_boost.queries [list.single_line_text_field]","Metafield: shopify--discovery--product_recommendation.related_products [list.product_reference]","Metafield: shopify--discovery--product_recommendation.related_products_display [single_line_text_field]","Metafield: shopify--discovery--product_recommendation.complementary_products [list.product_reference]","Metafield: reviews.rating [rating]","Metafield: reviews.rating_count [number_integer]","Metafield: mm-google-shopping.custom_product [boolean]","Metafield: shopify.dietary-preferences [list.metaobject_reference]","Metafield: shopify.flavor [list.metaobject_reference]","Metafield: shopify.tea-input-type [list.metaobject_reference]","Variant Metafield: mm-google-shopping.custom_label_4 [single_line_text_field]","Variant Metafield: mm-google-shopping.custom_label_3 [single_line_text_field]","Variant Metafield: mm-google-shopping.custom_label_2 [single_line_text_field]","Variant Metafield: mm-google-shopping.custom_label_1 [single_line_text_field]","Variant Metafield: mm-google-shopping.custom_label_0 [single_line_text_field]","Variant Metafield: mm-google-shopping.size_system [single_line_text_field]","Variant Metafield: mm-google-shopping.size_type [single_line_text_field]","Variant Metafield: mm-google-shopping.mpn [single_line_text_field]","Variant Metafield: mm-google-shopping.gender [single_line_text_field]","Variant Metafield: mm-google-shopping.condition [single_line_text_field]","Variant Metafield: mm-google-shopping.age_group [single_line_text_field]","Metafield: mc-facebook.google_product_category [string]","Metafield: spr.reviews [multi_line_text_field]","Metafield: subscription_plus.sp_plus_customer_tags [string]","Metafield: subscription_plus.sp_plus_convertible_product_id [json]"
"6912984121519","organic-theanine-powder","MERGE","Organic Theanine Powder","<p>Organic Theanine Powder is naturally found in the tea plant and has many proved health benefits. This powder is known for reducing stress and boosting relaxation. It's very faint taste makes it compatible in water, in a smoothie, or just add it straight to your cup of coffee.</p>
<h4>Taste Notes: very faint, almost pleasant taste</h4>
<h4>Pairs well with :beverages</h4>
<p><strong>The Divine Difference</strong><br>
Every batch is independently lab-tested for purity, potency, and safety. USDA Organic &amp; CCOF Certified. No synthetic additives, artificial colors, preservatives, fillers, or GMOs — ever.</p>","Divine Organic Ingredients","Powder","Benefit_Focus, Benefit_Relaxation, Caffeine_Light Caffeine, Category_Powder, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Format_Powder","REPLACE","2021-08-31 19:09:50 -0700","2025-09-25 10:46:15 -0700","Draft","false","","web","","false","https://divineingredients.com/products/organic-theanine-powder","0","1","true","","","","organic-superfood-powders","powder, shop-wholesale-with-divine, best-seller-internal-use","IMAGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/IMG_6912.jpg?v=1750439311","MERGE","1","3456","3456","Organic Theanine Powder","43335121502383","41239633002671","MERGE","Weight","50g","","","","","1","PO.Theanine.50","","","50.0","g","56.81","","true","","","deny","manual","true","General profile","","","","","","","Stocked","","","","","","","","","","","","","true","","","true","","","Organic Theanine Powder - Relaxing Superfood Powder | Divine Ingredients","Unwind and relax with our organic theanine powder. Made from pure, sustainably sourced green tea, it's a natural stress-reliever. Try it now and enjoy a soothing cup of tea!","","","","","","","","","","","","","","","","","","","","","","473","","",""
"6912984121519","organic-theanine-powder","MERGE","Organic Theanine Powder","","Divine Organic Ingredients","Powder","Benefit_Focus, Benefit_Relaxation, Caffeine_Light Caffeine, Category_Powder, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Format_Powder","REPLACE","2021-08-31 19:09:50 -0700","2025-09-25 10:46:15 -0700","Draft","false","","web","","false","https://divineingredients.com/products/organic-theanine-powder","0","2","","","","","organic-superfood-powders","powder, shop-wholesale-with-divine, best-seller-internal-use","","","","","","","","42641608245423","40547030466735","MERGE","Weight","100g","","","","","2","PO.Theanine.100","","","100.0","g","93.75","","true","","","deny","manual","true","General profile","","","","","","","Stocked","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6912984121519","organic-theanine-powder","MERGE","Organic Theanine Powder","","Divine Organic Ingredients","Powder","Benefit_Focus, Benefit_Relaxation, Caffeine_Light Caffeine, Category_Powder, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Format_Powder","REPLACE","2021-08-31 19:09:50 -0700","2025-09-25 10:46:15 -0700","Draft","false","","web","","false","https://divineingredients.com/products/organic-theanine-powder","0","3","","","","","organic-superfood-powders","powder, shop-wholesale-with-divine, best-seller-internal-use","","","","","","","","47496418787503","45460566802607","MERGE","Weight","250g","","","","","3","PO.Theanine.250","","","250.0","g","187.50","","true","","","deny","manual","true","General profile","","","","","","","Stocked","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6912984121519","organic-theanine-powder","MERGE","Organic Theanine Powder","","Divine Organic Ingredients","Powder","Benefit_Focus, Benefit_Relaxation, Caffeine_Light Caffeine, Category_Powder, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Format_Powder","REPLACE","2021-08-31 19:09:50 -0700","2025-09-25 10:46:15 -0700","Draft","false","","web","","false","https://divineingredients.com/products/organic-theanine-powder","0","4","","","","","organic-superfood-powders","powder, shop-wholesale-with-divine, best-seller-internal-use","","","","","","","","47496418820271","45460566835375","MERGE","Weight","500g","","","","","4","PO.Theanine.500","","","500.0","g","326.04","","true","","","deny","manual","true","General profile","","","","","","","Stocked","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6912984121519","organic-theanine-powder","MERGE","Organic Theanine Powder","","Divine Organic Ingredients","Powder","Benefit_Focus, Benefit_Relaxation, Caffeine_Light Caffeine, Category_Powder, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Format_Powder","REPLACE","2021-08-31 19:09:50 -0700","2025-09-25 10:46:15 -0700","Draft","false","","web","","false","https://divineingredients.com/products/organic-theanine-powder","0","5","","","","","organic-superfood-powders","powder, shop-wholesale-with-divine, best-seller-internal-use","","","","","","","","47496418853039","45460566868143","MERGE","Weight","1kg","","","","","5","PO.Theanine.1","","","1000.0","g","571.43","","true","","","deny","manual","true","General profile","","","","","","","Stocked","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6912984121519","organic-theanine-powder","MERGE","Organic Theanine Powder","","Divine Organic Ingredients","Powder","Benefit_Focus, Benefit_Relaxation, Caffeine_Light Caffeine, Category_Powder, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Format_Powder","REPLACE","2021-08-31 19:09:50 -0700","2025-09-25 10:46:15 -0700","Draft","false","","web","","false","https://divineingredients.com/products/organic-theanine-powder","0","6","","","","","organic-superfood-powders","powder, shop-wholesale-with-divine, best-seller-internal-use","","","","","","","","47496418885807","45460566900911","MERGE","Weight","5kg","","","","","6","PO.Theanine.5","","","5000.0","g","2343.75","","true","","","deny","manual","true","General profile","","","","","","","Stocked","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6912984121519","organic-theanine-powder","MERGE","Organic Theanine Powder","","Divine Organic Ingredients","Powder","Benefit_Focus, Benefit_Relaxation, Caffeine_Light Caffeine, Category_Powder, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Format_Powder","REPLACE","2021-08-31 19:09:50 -0700","2025-09-25 10:46:15 -0700","Draft","false","","web","","false","https://divineingredients.com/products/organic-theanine-powder","0","7","","","","","organic-superfood-powders","powder, shop-wholesale-with-divine, best-seller-internal-use","","","","","","","","47496418918575","45460566933679","MERGE","Weight","25kg","","","","","7","PO.Theanine.25","","","25000.0","g","9774.30","","true","","","deny","manual","true","General profile","","","","","","","Stocked","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6912985006255","organic-maple-sugar","MERGE","Organic Maple Sugar","<p>Whether for individual or bulk orders, our Organic Maple Sugar promises a wholesome alternative to traditional sweeteners, offering a remarkable blend of taste and health benefits. Trust in Divine Ingredients to provide you with a consistent supply of high-quality, organic maple sugar that's both nutrient-rich and delightfully sweet.</p>
<p>Savor the exquisite taste of our Organic Maple Sugar. Made from pure maple syrup, this natural sweetener boasts a rich, delicate maple flavor - a sweet treat free from artificial flavors. Its taste adds a unique, sweet twist to your favorite recipes, making it an ideal choice for both sweet and savory dishes.</p>
<p>Every scoop of our Organic Maple Sugar introduces not just sweetness, but also an assortment of nutrients to your meals. The careful transformation from organic maple syrup to the finely granulated sugar ensures the preservation of its nutritional value, unique flavor profile, and natural sweetness.</p>
<p>Take your culinary creations to a new level with Divine Ingredients' Organic Maple Sugar. Each step of our process, from sourcing to packaging, guarantees the delivery of the highest quality product to your kitchen. Experience a healthier, sweeter, and more flavorful culinary journey with Divine Ingredients.</p>","Divine Organic Ingredients","Powder","Caffeine_Light Caffeine, Category_Powder, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Vegan, Flavor_Nutty, Flavor_Sweet, Format_Powder, Origin_Canada","REPLACE","2021-08-31 19:12:20 -0700","2025-09-25 10:43:31 -0700","Active","true","2022-01-27 14:50:41 -0800","web","","false","https://divineingredients.com/products/organic-maple-sugar","-5","8","true","","","","home-page-feature-collection, organic-sweeteners","best-seller-internal-use","IMAGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/IMG_6918.jpg?v=1750439309","MERGE","1","3456","3456","Organic Maple Sugar","47496418590895","45460566605999","MERGE","Weight","50g","","","","","1","PO.MapleSug.50","","","50.0","g","19.39","","true","","","deny","manual","true","General profile","","","","","","","Stocked","","","","","","","","","","","","","true","","","true","","","Organic Maple Sugar - Natural Sweetener Powder | Divine Ingredients","Sweeten your foods naturally with our organic maple sugar. Made from pure, sustainably sourced maple syrup, it's a healthier alternative to refined sugar. Try it now and taste the difference!","","","","","","","","","","","","","","","","","","","","","","473","","",""
"6912985006255","organic-maple-sugar","MERGE","Organic Maple Sugar","","Divine Organic Ingredients","Powder","Caffeine_Light Caffeine, Category_Powder, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Vegan, Flavor_Nutty, Flavor_Sweet, Format_Powder, Origin_Canada","REPLACE","2021-08-31 19:12:20 -0700","2025-09-25 10:43:31 -0700","Active","true","2022-01-27 14:50:41 -0800","web","","false","https://divineingredients.com/products/organic-maple-sugar","-5","9","","","","","home-page-feature-collection, organic-sweeteners","best-seller-internal-use","","","","","","","","42641612013743","40547034235055","MERGE","Weight","100g","","","","","2","PO.MapleSug.100","","","100.0","g","30.68","","true","","","deny","manual","true","General profile","","","","","","","Stocked","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6912985006255","organic-maple-sugar","MERGE","Organic Maple Sugar","","Divine Organic Ingredients","Powder","Caffeine_Light Caffeine, Category_Powder, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Vegan, Flavor_Nutty, Flavor_Sweet, Format_Powder, Origin_Canada","REPLACE","2021-08-31 19:12:20 -0700","2025-09-25 10:43:31 -0700","Active","true","2022-01-27 14:50:41 -0800","web","","false","https://divineingredients.com/products/organic-maple-sugar","-5","10","","","","","home-page-feature-collection, organic-sweeteners","best-seller-internal-use","","","","","","","","47496418623663","45460566638767","MERGE","Weight","250g","","","","","3","PO.MapleSug.250","","","250.0","g","54.74","","true","","","deny","manual","true","General profile","","","","","","","Stocked","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6912985006255","organic-maple-sugar","MERGE","Organic Maple Sugar","","Divine Organic Ingredients","Powder","Caffeine_Light Caffeine, Category_Powder, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Vegan, Flavor_Nutty, Flavor_Sweet, Format_Powder, Origin_Canada","REPLACE","2021-08-31 19:12:20 -0700","2025-09-25 10:43:31 -0700","Active","true","2022-01-27 14:50:41 -0800","web","","false","https://divineingredients.com/products/organic-maple-sugar","-5","11","","","","","home-page-feature-collection, organic-sweeteners","best-seller-internal-use","","","","","","","","47496418656431","45460566671535","MERGE","Weight","500g","","","","","4","PO.MapleSug.500","","","500.0","g","100.14","","true","","","deny","manual","true","General profile","","","","","","","Stocked","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6912985006255","organic-maple-sugar","MERGE","Organic Maple Sugar","","Divine Organic Ingredients","Powder","Caffeine_Light Caffeine, Category_Powder, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Vegan, Flavor_Nutty, Flavor_Sweet, Format_Powder, Origin_Canada","REPLACE","2021-08-31 19:12:20 -0700","2025-09-25 10:43:31 -0700","Active","true","2022-01-27 14:50:41 -0800","web","","false","https://divineingredients.com/products/organic-maple-sugar","-5","12","","","","","home-page-feature-collection, organic-sweeteners","best-seller-internal-use","","","","","","","","47496418689199","45460566704303","MERGE","Weight","1kg","","","","","5","PO.MapleSug.1","","","1000.0","g","170.76","","true","","","deny","manual","true","General profile","","","","","","","Stocked","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6912985006255","organic-maple-sugar","MERGE","Organic Maple Sugar","","Divine Organic Ingredients","Powder","Caffeine_Light Caffeine, Category_Powder, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Vegan, Flavor_Nutty, Flavor_Sweet, Format_Powder, Origin_Canada","REPLACE","2021-08-31 19:12:20 -0700","2025-09-25 10:43:31 -0700","Active","true","2022-01-27 14:50:41 -0800","web","","false","https://divineingredients.com/products/organic-maple-sugar","-5","13","","","","","home-page-feature-collection, organic-sweeteners","best-seller-internal-use","","","","","","","","47496418721967","45460566737071","MERGE","Weight","5kg","","","","","6","PO.MapleSug.5","","","5000.0","g","719.74","","true","","","deny","manual","true","General profile","","","","","","","Stocked","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6912985006255","organic-maple-sugar","MERGE","Organic Maple Sugar","","Divine Organic Ingredients","Powder","Caffeine_Light Caffeine, Category_Powder, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Vegan, Flavor_Nutty, Flavor_Sweet, Format_Powder, Origin_Canada","REPLACE","2021-08-31 19:12:20 -0700","2025-09-25 10:43:31 -0700","Active","true","2022-01-27 14:50:41 -0800","web","","false","https://divineingredients.com/products/organic-maple-sugar","-5","14","","","","","home-page-feature-collection, organic-sweeteners","best-seller-internal-use","","","","","","","","47496418754735","45460566769839","MERGE","Weight","25kg","","","","","7","PO.MapleSug.25","","","25000.0","g","3181.43","","true","","","deny","manual","true","General profile","","","","","","","Stocked","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6912985465007","organic-chaga-powder","MERGE","Organic Chaga Powder","<h2>Organic Chaga Mushroom Powder - The King of Medicinal Mushrooms</h2>
<p>Harness the power of nature's most potent medicinal mushroom with our <strong>premium organic chaga powder</strong>. Wild-harvested from pristine forests, chaga is renowned as the ""King of Mushrooms"" for its exceptional antioxidant content and immune-supporting properties.</p>

<h3>Nutritional Benefits</h3>
<ul>
<li>
<strong>High ORAC Value</strong> - Among the highest antioxidant foods on earth</li>
<li>
<strong>Immune System Support</strong> - Beta-glucans boost natural immunity</li>
<li>
<strong>Adaptogenic Properties</strong> - Helps body manage stress and fatigue</li>
<li>
<strong>Anti-Aging Compounds</strong> - Melanin and betulinic acid for cellular health</li>
</ul>

<h3>Usage Suggestions</h3>
<ul>
<li>Add 1 tsp to morning smoothies or coffee</li>
<li>Blend into hot chocolate or golden milk lattes</li>
<li>Mix into yogurt or oatmeal for daily wellness</li>
</ul>

<h3>Quality &amp; Sourcing</h3>
<p>Our chaga is sustainably wild-harvested from pristine northern forests and carefully processed to preserve its beneficial compounds. The earthy flavor with hints of vanilla makes it perfect for hot beverages.</p>","Divine Organic Ingredients","Powder","Benefit_Adaptogen, Benefit_Antioxidant Rich, Benefit_Immune Support, Benefit_Relaxation, Caffeine_Light Caffeine, Category_Powder, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Chocolatey, Flavor_Earthy, Flavor_Nutty, Flavor_Sweet, Format_Powder","REPLACE","2021-08-31 19:13:23 -0700","2025-09-25 10:37:36 -0700","Active","true","2022-01-27 14:49:07 -0800","web","","false","https://divineingredients.com/products/organic-chaga-powder","-9","15","true","","","","organic-superfood-powders","powder, shop-wholesale-with-divine, best-seller-internal-use","IMAGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/IMG_6921.jpg?v=1750439308","MERGE","1","3456","3456","Organic Chaga Powder","43335104889007","41239621599407","MERGE","Weight","50g","","","","","1","PO.Chaga.50","","","50.0","g","23.89","","true","","","deny","manual","true","General profile","","","","","","","Stocked","","","","","","","","","","","","","true","","","true","","","Organic Chaga Mushroom Powder | Immune Support Superfood | Divine","Premium organic chaga powder rich in antioxidants. Wild-harvested superfood for immune support & wellness. Available in bulk sizes.","","","","","","","","","","","","","","","","","","","","","","473","","",""
