Handle,Title,Vendor,Type,Tags,Status,Price Range,Compare At Price,Variant Options (Sizes),Variant Count,Total Inventory,Description (Summary),Category,Image Src,Created At,Published
apple-mint-green-tea,Apple Mint Green Tea,Divine Organic Ingredients,Green Tea,"Benefit_Antioxidant Rich, Benefit_Digestive Health, Benefit_Energy, Benefit_Weight Management, Caffeine_Light Caffeine, Category_Green Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Fruity, Flavor_Minty, Flavor_Nutty, Flavor_Spicy, Flavor_Sweet, Flavor_Vegetal, Format_Loose Leaf",Active,$17.19 - $1909.73,,100g | 250g | 500g | 1kg | 5kg | 25kg,6,,"This Apple Mint Green tea provides a subtle mint flavor that takes the backstage to the spotlight of the green apple. The freshness of the mint, with the sweetness of the apple creates a perfect combination for any time of the day. Taste Notes Minty, Apple, Light, Refreshing Ingredients Organic G...","Food, Beverages & Tobacco > Beverages > Tea & Infusions > Tea",https://cdn.shopify.com/s/files/1/0506/6965/0095/products/GT.Greennt1_1.jpg?v=1750439440,2020-12-01 05:34:30 -0800,true
apple-papaya-island-herbal,Apple Papaya Island Herbal,Divine Organic Ingredients,Herbal Tea,"Benefit_Antioxidant Rich, Benefit_Digestive Health, Benefit_Energy, Benefit_Weight Management, Caffeine_Caffeine Free, Category_Herbal Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Fruity, Flavor_Herbal, Flavor_Minty, Flavor_Nutty, Flavor_Spicy, Flavor_Sweet, Flavor_Vegetal, Format_Loose Leaf",Active,$17.98 - $1996.54,,100g | 250g | 500g | 1kg | 5kg | 25kg,6,,"This Egyptian mint takes the backstage to give the spotlight to the green apple. The subtle freshness of the mint, with the sweetness of the apple creates a perfect combination for any time of the day. Taste Notes Subtle Minty, Apple, Light Ingredients Organic Green Tea, Peppermint, Apple Pieces,...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/HT.Ambroia1_1.jpg?v=1750439423,2020-12-01 05:35:00 -0800,true
cascara-hemp-chocolate-rose,Cascara Hemp Chocolate Rose,Divine Organic Ingredients,Black Tea,"Benefit_Energy, Benefit_Heart Health, Benefit_Relaxation, Benefit_Skin Health, Caffeine_High Caffeine, Category_Black Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Chocolatey, Flavor_Floral, Flavor_Fruity, Flavor_Nutty, Flavor_Sweet, Format_Loose Leaf",Active,$19.39 - $3181.43,,50g | 100g | 250g | 500g | 1kg | 5kg | 25kg,7,,"This unique Coffee Cherry blend is one of our newest creations. In addition to the health benefits of the hemp seeds, this blend carries rich chocolate flavors with the sweetness of the rose petals. Taste Notes Coffee, Chocolate, Floral Ingredients Organic Cascara, Organic Cocoa shells, Rose peta...",Uncategorized,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/IMG_5078-2_9cdb192e-e389-467a-a16d-67d452c067d3.jpg?v=1750439306,2022-01-27 14:47:24 -0800,true
ceremonial-matcha,Organic Ceremonial Matcha Green Tea Powder,Divine Organic Ingredients,Green Tea,"Benefit_Antioxidant Rich, Benefit_Energy, Benefit_Focus, Benefit_Weight Management, Caffeine_High Caffeine, Category_Green Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Sweet, Flavor_Vegetal, Format_Loose Leaf, Origin_Japan",Active,$35.49 - $5915.56,,50g | 100g | 250g | 500g | 1kg | 5kg | 25kg,7,,"{ ""@context"": ""https://schema.org"", ""@type"": ""Product"", ""name"": ""Ceremonial Matcha Powder"", ""image"": ""https://divineingredients.com/cdn/shop/products/ceremonial-matcha.jpg"", ""description"": ""Divine Ingredients' Ceremonial Matcha Powder is a first-harvest Japanese green tea crafted for tea ceremoni...","Food, Beverages & Tobacco > Beverages > Tea & Infusions > Tea",https://cdn.shopify.com/s/files/1/0506/6965/0095/products/GT.Ceremha1_1.jpg?v=1750439373,2020-12-08 12:40:46 -0800,true
ceylon-black-tea,Ceylon Black Tea,Divine Organic Ingredients,Black Tea,"Benefit_Energy, Caffeine_High Caffeine, Category_Black Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Nutty, Flavor_Sweet, Format_Loose Leaf, Origin_Sri Lanka",Active,$13.13 - $1525.63,,100g | 250g | 500g | 1kg | 5kg | 25kg,6,129997,"Ceylon Black Tea is made from Camellia sinensis leaves, grown and harvested in Sri Lanka. Its full-bodied flavor with notes of honey and apricot is a result of the unique terroir and climate found in this part of the world. Highest quality, sustainably sourced, this Ceylon black tea is a connoiss...","Food, Beverages & Tobacco > Beverages > Tea & Infusions > Tea",https://cdn.shopify.com/s/files/1/0506/6965/0095/products/ceylon_black_a2709a53-daf9-4060-b061-8cdba4e4fdc7.jpg?v=1750439286,2022-02-16 13:24:17 -0800,true
chamomile-care-herbal-tea,Organic Chamomile Care Herbal Tea,Divine Organic Ingredients,Herbal Tea,"Benefit_Heart Health, Benefit_Relaxation, Caffeine_Caffeine Free, Category_Herbal Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Citrus, Flavor_Floral, Flavor_Fruity, Flavor_Herbal, Flavor_Minty, Flavor_Nutty, Flavor_Sweet, Format_Loose Leaf",Active,$17.19 - $1909.73,,100g | 250g | 500g | 1kg | 5kg | 25kg,6,,"This is the perfect blend for any of the sweet chamomile lovers. The sweet aroma is met by the slight tartness of the hibiscus to create a melodic blend. Taste Notes Minty, Floral, Sweet Ingredients Organic Chamomile, Hibiscus and Lemongrass Steeping Instructions For A Divine Cup Heat freshly dra...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/HT.Chamore1.jpg?v=1750439420,2020-12-01 05:35:06 -0800,true
china-black-tea,China Black Tea,Divine Organic Ingredients,Black Tea,"Benefit_Energy, Benefit_Weight Management, Caffeine_High Caffeine, Category_Black Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Nutty, Format_Loose Leaf, Origin_China",Active,$15.80 - $1957.48,,50g | 100g | 250g | 500g | 1kg | 5kg | 25kg,7,,"Grown from China's rich soil, this black tea has a smooth and full-bodied flavor. This exceptionally smooth tea is perfect for a wake me up with its distinct and rich aroma. This tea is known to be one of the best quality teas in the world, both in aroma and taste. Taste Notes Brisk, Full Bodied,...",Uncategorized,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/china_blk_tea.jpg?v=1750439288,2022-02-16 13:15:33 -0800,true
chinese-gunpowder-green-tea,Chinese Gunpowder Green Tea,Divine Organic Ingredients,Green Tea,"Benefit_Antioxidant Rich, Benefit_Energy, Benefit_Weight Management, Caffeine_Light Caffeine, Category_Green Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Nutty, Flavor_Smoky, Flavor_Vegetal, Format_Loose Leaf, Origin_China",Active,$21.88 - $1215.29,,250g | 500g | 1kg | 5kg | 25kg,5,,"A unique tea from China known as Gunpowder, that has each individual leaf tightly rolled into a round pallet. Once steeped, these dried palettes unravel into the beautiful green leaves they once were. This traditional tea usually contains a higher caffeine level than most green teas. Taste Notes ...",Uncategorized,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/ST.Tempeen1_800bd919-acce-431b-b971-a755ebd43299.jpg?v=1750439426,2020-12-01 05:34:56 -0800,true
chinese-jasmine-green-tea,Chinese Jasmine Green Tea,Divine Organic Ingredients,Green Tea,"Benefit_Antioxidant Rich, Benefit_Energy, Benefit_Relaxation, Benefit_Weight Management, Caffeine_Light Caffeine, Category_Green Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Floral, Flavor_Nutty, Flavor_Sweet, Flavor_Vegetal, Format_Loose Leaf, Origin_China",Active,$17.19 - $954.86,,250g | 500g | 1kg | 5kg | 25kg,5,,"Elevate your tea ritual with the bright, floral aroma of Jasmine Green Tea. Crafted from authentic Chinese green tea leaves, each batch is carefully scented with freshly picked jasmine blossoms, delivering a smooth finish that's both delicate and refreshing. Enjoy a mellow sweetness that makes ev...",Uncategorized,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/ST.Jasmiea1.jpg?v=1750439433,2020-12-01 05:34:42 -0800,true
chinese-keemun-black-tea,Chinese Keemun Black Tea,Divine Organic Ingredients,Black Tea,"Benefit_Energy, Benefit_Focus, Caffeine_High Caffeine, Category_Black Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Chocolatey, Flavor_Floral, Flavor_Fruity, Flavor_Nutty, Flavor_Sweet, Format_Loose Leaf, Origin_China",Active,$14.06 - $781.25,,250g | 500g | 1kg | 5kg | 25kg,5,,"Elevate your black tea ritual with our sustainably cultivated Keemun leaves, carefully twisted to release a lush, reddish-brown infusion. Unlike standard black teas, Keemun is renowned for its layered complexity—think subtle cocoa notes, a gentle fruity undertone, and a hint of floral sweetness. ...",Uncategorized,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/ST.Keemuck1.jpg?v=1750439458,2020-12-01 05:34:05 -0800,true
